"geographicAreaM49","measuredItemCPC","measuredElement","timePointYears","Value","flagObservationStatus","flagMethod"
"484","02123","5315","2012",2383778,"","q"
"484","02123","5315","2013",2262579,"","q"
"484","02140","5315","2012",16138048,"","q"
"484","02140","5315","2013",16818454,"","q"
"484","02151","5316","2012",1601172,"","q"
"484","02151","5316","2013",1600988,"","q"
"554","02111","5315","2012",3858679,"","q"
"554","02111","5315","2013",2625522,"","q"
"554","02122","5315","2012",22938440,"","q"
"554","02122","5315","2013",23630958,"","q"
"554","02123","5315","2012",95648,"","q"
"554","02140","5315","2012",718788,"","q"
"554","02140","5315","2013",570334,"","q"
"554","02151","5316","2012",92761.4,"","q"
"554","02151","5316","2013",94358.76,"","q"
"566","02151","5316","2012",155505,"","q"
"578","02111","5315","2012",294032,"","q"
"578","02111","5315","2013",312331,"","q"
"578","02122","5315","2012",1133891,"","q"
"578","02122","5315","2013",1174920,"","q"
"578","02123","5315","2012",20771,"","q"
"578","02123","5315","2013",23630,"","q"
"578","02131","5315","2012",1355,"","q"
"578","02140","5315","2012",1599697,"","q"
"578","02151","5316","2012",64566,"","q"
"578","02151","5316","2013",72684,"","q"
"578","02152","5316","2012",1262,"","q"
"578","02154","5316","2012",90,"","q"
"591","02111","5315","2012",422475,"","q"
"591","02111","5315","2013",391230,"","q"
"591","02140","5315","2012",464867,"","q"
"591","02140","5315","2013",463369,"","q"
"591","02140","5315","2014",462604,"","q"
"591","02151","5316","2012",86016,"","q"
"616","02111","5315","2012",1554191,"","q"
"616","02111","5315","2013",1369790,"","q"
"616","02111","5315","2014",1656740,"","q"
"616","02122","5315","2012",48793,"","q"
"616","02122","5315","2013",48459,"","q"
"616","02122","5315","2014",55572,"","q"
"616","02131","5315","2012",38196,"","q"
"616","02131","5315","2013",22514,"","q"
"616","02131","5315","2014",23364,"","q"
"616","02140","5315","2012",20604816,"","q"
"616","02140","5315","2013",20278472,"","q"
"616","02140","5315","2014",21665978,"","q"
"616","02151","5316","2012",783837,"","q"
"616","02151","5316","2013",827221,"","q"
"616","02151","5316","2014",927001,"","q"
"616","02191","5316","2012",1542,"","q"
"616","02191","5316","2013",1704,"","q"
"616","02191","5316","2014",1615,"","q"
"642","02111","5315","2012",707000,"","q"
"642","02122","5315","2012",6448000,"","q"
"642","02122","5315","2013",6327000,"","q"
"642","02123","5315","2012",794000,"","q"
"642","02123","5315","2013",863000,"","q"
"642","02140","5315","2012",5362000,"","q"
"642","02140","5315","2013",4793000,"","q"
"642","02151","5316","2012",226472,"","q"
"642","02151","5316","2013",204353,"","q"
"642","02191","5316","2012",134,"","q"
"643","02111","5315","2012",8583044,"","q"
"643","02111","5315","2013",8569506,"","q"
"643","02111","5315","2014",8578174,"","q"
"643","02121.01","5315","2012",563,"","q"
"643","02121.01","5315","2013",835,"","q"
"643","02121.01","5315","2014",725,"","q"
"643","02122","5315","2012",9379944,"","q"
"643","02122","5315","2014",10590813,"","q"
"643","02123","5315","2012",944530,"","q"
"643","02123","5315","2014",995258,"","q"
"643","02131","5315","2012",252193,"","q"
"643","02131","5315","2013",261423,"","q"
"643","02131","5315","2014",269075,"","q"
"643","02140","5315","2014",34271029,"","q"
"643","02151","5316","2012",2059313,"","q"
"643","02151","5316","2013",2129567,"","q"
"643","02151","5316","2014",2280343,"","q"
"643","02191","5316","2012",6835,"","q"
"643","02191","5316","2013",6969,"","q"
"643","02191","5316","2014",7187,"","q"
"670","02111","5315","2012",892,"","q"
"68","02111","5315","2012",1109541.5,"","q"
"68","02111","5315","2013",1123029.1,"","q"
"68","02122","5315","2012",1473524.4,"","q"
"68","02122","5315","2013",1513738.4,"","q"
"68","02123","5315","2012",373117,"","q"
"68","02123","5315","2013",382801,"","q"
"68","02140","5315","2012",1498627.9,"","q"
"68","02140","5315","2013",1540098.8,"","q"
"68","02191","5316","2012",265,"","q"
"688","02111","5315","2012",387409,"","q"
"688","02122","5315","2012",1107694,"","q"
"688","02122","5315","2013",1537435,"","q"
"688","02140","5315","2012",5453062,"","q"
"688","02140","5315","2013",5684030,"","q"
"688","02151","5316","2012",46229,"","q"
"688","02151","5316","2013",64552,"","q"
"703","02111","5315","2012",53335,"","q"
"703","02111","5315","2013",47593,"","q"
"705","02111","5315","2012",115711,"","q"
"705","02111","5315","2013",110326,"","q"
"705","02111","5315","2014",108391,"","q"
"705","02122","5315","2012",104635,"","q"
"705","02122","5315","2013",97433,"","q"
"705","02123","5315","2012",25505,"","q"
"705","02131","5315","2012",1721,"","q"
"705","02131","5315","2013",1393,"","q"
"705","02140","5315","2012",382876,"","q"
"705","02140","5315","2013",324731,"","q"
"705","02151","5316","2012",32161,"","q"
"705","02151","5316","2013",32078,"","q"
"705","02152","5316","2012",409,"","q"
"705","02152","5316","2013",391,"","q"
"729","02122","5315","2012",15300000,"","q"
"729","02122","5315","2013",15350000,"","q"
"729","02122","5315","2014",15400000,"","q"
"729","02123","5315","2012",12501000,"","q"
"729","02123","5315","2013",12863000,"","q"
"729","02123","5315","2014",12866000,"","q"
"740","02111","5315","2012",10407,"","q"
"740","02111","5315","2013",9278,"","q"
"740","02111","5315","2014",8472,"","q"
"740","02122","5315","2012",1173.6,"","q"
"740","02122","5315","2013",1059,"","q"
"740","02122","5315","2014",1064,"","q"
"740","02123","5315","2012",293,"","q"
"740","02123","5315","2013",265,"","q"
"740","02123","5315","2014",532,"","q"
"740","02140","5315","2012",27653,"","q"
"740","02140","5315","2013",27176,"","q"
"740","02140","5315","2014",31398,"","q"
"740","02151","5316","2012",5784,"","q"
"740","02151","5316","2013",4317,"","q"
"740","02151","5316","2014",4566,"","q"
"740","02154","5316","2012",300,"","q"
"740","02154","5316","2013",350,"","q"
"740","02154","5316","2014",350,"","q"
"756","02111","5315","2012",649357,"","q"
"756","02111","5315","2013",647013,"","q"
"756","02122","5315","2012",227411,"","q"
"756","02122","5315","2013",218138,"","q"
"756","02123","5315","2012",32326,"","q"
"756","02123","5315","2013",31109,"","q"
"756","02131","5315","2012",3409,"","q"
"756","02140","5315","2012",2762816,"","q"
"756","02140","5315","2013",2680027,"","q"
"76","02140","5315","2012",36005797,"","q"
"76","02140","5315","2013",36286098,"","q"
"76","02140","5315","2014",37118766,"","q"
"76","02151","5316","2012",5243578,"","q"
"76","02151","5316","2013",5613069,"","q"
"76","02151","5316","2014",5495440,"","q"
"760","02151","5316","2012",112435,"","q"
"760","02151","5316","2013",107306,"","q"
"764","02122","5315","2012",11902,"","q"
"764","02122","5315","2013",23490,"","q"
"764","02140","5315","2012",12828363,"","q"
"764","02140","5315","2013",13071563,"","q"
"780","02111","5315","2012",6621,"","q"
"792","02111","5315","2012",2791034,"","q"
"792","02111","5315","2013",3430723,"","q"
"792","02111","5315","2014",3712281,"","q"
"792","02112","5315","2012",7426,"","q"
"792","02112","5315","2013",2403,"","q"
"792","02151","5316","2014",1109742,"","q"
"804","02111","5315","2012",2335700,"","q"
"804","02111","5315","2013",2602200,"","q"
"804","02122","5315","2012",720773,"","q"
"804","02122","5315","2013",710000,"","q"
"804","02131","5315","2012",62200,"","q"
"804","02131","5315","2013",63700,"","q"
"804","02140","5315","2012",7941400,"","q"
"804","02140","5315","2013",8559800,"","q"
"804","02151","5316","2012",577858,"","q"
"804","02151","5316","2013",653583,"","q"
"804","02191","5316","2012",7774,"","q"
"804","02191","5316","2013",7986,"","q"
"818","02111","5315","2012",1462000,"","q"
"818","02111","5315","2013",1409000,"","q"
"818","02112","5315","2012",1205000,"","q"
"818","02112","5315","2013",1170000,"","q"
"818","02122","5315","2012",2335000,"","q"
"818","02122","5315","2013",2383000,"","q"
"818","02123","5315","2012",2663000,"","q"
"818","02123","5315","2013",2536000,"","q"
"818","02151","5316","2012",591987,"","q"
"818","02151","5316","2013",658079,"","q"
"818","02152","5316","2012",1497,"","q"
"818","02152","5316","2013",1688,"","q"
"818","02153","5316","2012",7835,"","q"
"818","02153","5316","2013",8619,"","q"
"818","02154","5316","2012",27455,"","q"
"818","02154","5316","2013",31185,"","q"
"818","02191","5316","2012",47335,"","q"
"818","02191","5316","2013",53213,"","q"
"826","02111","5315","2012",2681000,"","q"
"826","02111","5315","2013",2625000,"","q"
"826","02122","5315","2012",13746000,"","q"
"826","02122","5315","2013",14517000,"","q"
"826","02140","5315","2012",10299000,"","q"
"826","02140","5315","2013",10302000,"","q"
"826","02151","5316","2012",919000,"","q"
"826","02151","5316","2013",945000,"","q"
"826","02152","5316","2012",18400,"","q"
"826","02152","5316","2013",17500,"","q"
"826","02154","5316","2012",14300,"","q"
"84","02111","5315","2012",8157,"","q"
"84","02111","5315","2013",9052,"","q"
"84","02111","5315","2014",7588,"","q"
"84","02122","5315","2012",1735,"","q"
"84","02122","5315","2013",2096,"","q"
"84","02122","5315","2014",1396,"","q"
"84","02140","5315","2012",25881,"","q"
"84","02140","5315","2013",24655,"","q"
"84","02140","5315","2014",25233,"","q"
"84","02151","5316","2012",8965,"","q"
"84","02151","5316","2013",9954,"","q"
"84","02152","5316","2013",44,"","q"
"840","02111","5315","2012",33861900,"","q"
"840","02111","5315","2013",33352500,"","q"
"840","02111","5315","2014",30859600,"","q"
"840","02122","5315","2012",2275400,"","q"
"840","02122","5315","2013",2412200,"","q"
"840","02122","5315","2014",2404000,"","q"
"840","02140","5315","2012",113246600,"","q"
"840","02140","5315","2013",112160500,"","q"
"840","02140","5315","2014",106957700,"","q"
"840","02151","5316","2012",8576195,"","q"
"840","02151","5316","2013",8648756,"","q"
"840","02151","5316","2014",8666662,"","q"
"840","02152","5316","2012",250192,"","q"
"840","02152","5316","2013",239404,"","q"
"840","02152","5316","2014",236617,"","q"
"840","02154","5316","2012",24183,"","q"
"840","02154","5316","2013",24575,"","q"
"840","02154","5316","2014",26368,"","q"
"854","02111","5315","2012",1135908,"","q"
"854","02111","5315","2013",1158623.5,"","q"
"854","02121.01","5315","2012",1412,"","q"
"854","02122","5315","2012",2343715,"","q"
"854","02122","5315","2013",2414020,"","q"
"854","02123","5315","2012",4216288,"","q"
"854","02123","5315","2013",4342769,"","q"
"100","02111","5315","2014",127148,"","q"
"100","02112","5315","2013",1807,"","q"
"100","02112","5315","2014",2172,"","q"
"100","02122","5315","2014",1083869,"","q"
"100","02123","5315","2014",234144,"","q"
"100","02140","5315","2014",988254,"","q"
"100","02151","5316","2014",47022,"","q"
"100","02152","5316","2013",65,"","q"
"100","02152","5316","2014",48,"","q"
"100","02153","5316","2013",45,"","q"
"100","02153","5316","2014",21,"","q"
"100","02154","5316","2013",5579,"","q"
"100","02154","5316","2014",5920,"","q"
"144","02111","5315","2014",151024,"","q"
"144","02123","5315","2014",55985,"","q"
"144","02140","5315","2014",23764,"","q"
"152","02111","5315","2014",892749,"","q"
"152","02122","5315","2014",704779,"","q"
"152","02131","5315","2014",37945,"","q"
"152","02140","5315","2014",5117295,"","q"
"152","02151","5316","2014",252206,"","q"
"152","02152","5316","2014",9468,"","q"
"170","02111","5315","2014",3937870,"","q"
"170","02140","5315","2014",4333417,"","q"
"170","02151","5316","2014",641109.906,"","q"
"191","02111","5315","2014",194600,"","q"
"191","02122","5315","2014",457800,"","q"
"191","02140","5315","2014",1362800,"","q"
"191","02152","5316","2014",949,"","q"
"192","02122","5315","2014",667728,"","q"
"192","02123","5315","2014",259672,"","q"
"196","02111","5315","2014",14710,"","q"
"196","02122","5315","2014",152042,"","q"
"196","02123","5315","2014",95814,"","q"
"196","02140","5315","2014",563693,"","q"
"196","02151","5316","2014",10772,"","q"
"203","02111","5315","2014",225092,"","q"
"203","02122","5315","2014",120428,"","q"
"203","02123","5315","2014",27386,"","q"
"203","02131","5315","2014",251,"","q"
"203","02140","5315","2014",2759128,"","q"
"203","02151","5316","2014",104323,"","q"
"203","02152","5316","2014",152,"","q"
"203","02153","5316","2014",161,"","q"
"203","02154","5316","2014",2854,"","q"
"214","02151","5316","2014",188114.636,"","q"
"233","02111","5315","2014",41900,"","q"
"233","02122","5315","2014",26800,"","q"
"233","02123","5315","2014",1800,"","q"
"233","02140","5315","2014",526500,"","q"
"233","02151","5316","2014",11051,"","q"
"246","02111","5315","2014",274600,"","q"
"246","02122","5315","2014",55000,"","q"
"246","02131","5315","2013",1861,"","q"
"246","02131","5315","2014",1616,"","q"
"246","02140","5315","2014",2055400,"","q"
"246","02151","5316","2014",63682,"","q"
"246","02152","5316","2014",794,"","q"
"300","02191","5316","2012",3926,"","q"
"31","02111","5315","2014",1094544,"","q"
"31","02122","5315","2014",4709589,"","q"
"31","02140","5315","2014",12962,"","q"
"31","02151","5316","2014",84225,"","q"
"352","02111","5315","2014",17658,"","q"
"352","02122","5315","2014",593725,"","q"
"352","02131","5315","2014",9026,"","q"
"352","02140","5315","2014",48529,"","q"
"352","02151","5316","2014",4913,"","q"
"376","02111","5315","2014",127126,"","q"
"376","02140","5315","2014",188996,"","q"
"388","02111","5315","2014",22455,"","q"
"388","02122","5315","2014",890,"","q"
"388","02123","5315","2014",55201,"","q"
"388","02140","5315","2014",111792,"","q"
"392","02151","5316","2014",756754,"","q"
"428","02111","5315","2014",98688,"","q"
"428","02122","5315","2014",34278,"","q"
"428","02131","5315","2014",289,"","q"
"428","02140","5315","2014",466425,"","q"
"428","02151","5316","2014",17318,"","q"
"428","02191","5316","2014",39,"","q"
"440","02111","5315","2014",169574,"","q"
"440","02122","5315","2014",33400,"","q"
"440","02123","5315","2014",12924,"","q"
"440","02131","5315","2014",1529,"","q"
"440","02140","5315","2014",1035300,"","q"
"440","02151","5316","2014",51824,"","q"
"440","02152","5316","2014",568.3,"","q"
"440","02153","5316","2014",31,"","q"
"440","02154","5316","2014",50.6,"","q"
"440","02191","5316","2014",68,"","q"
"442","02191","5316","2012",17.625,"","q"
"442","02191","5316","2013",18.3,"","q"
"442","02191","5316","2014",18.175,"","q"
"470","02111","5315","2014",4088,"","q"
"470","02140","5315","2014",69789,"","q"
"470","02151","5316","2014",2230,"","q"
"52","02111","5315","2013",671,"","q"
"52","02111","5315","2014",736,"","q"
"52","02122","5315","2014",2853,"","q"
"52","02140","5315","2013",34282,"","q"
"52","02140","5315","2014",36190,"","q"
"52","02151","5316","2013",8349,"","q"
"52","02151","5316","2014",8984,"","q"
"52","02152","5316","2012",54,"","q"
"52","02152","5316","2013",29,"","q"
"52","02152","5316","2014",20,"","q"
"578","02111","5315","2014",290328,"","q"
"578","02122","5315","2014",1177866,"","q"
"578","02123","5315","2014",21398,"","q"
"578","02131","5315","2013",1098,"","q"
"578","02131","5315","2014",555,"","q"
"578","02140","5315","2014",1587993,"","q"
"578","02151","5316","2014",74423,"","q"
"578","02152","5316","2013",1174,"","q"
"578","02152","5316","2014",1246,"","q"
"578","02154","5316","2013",237,"","q"
"578","02154","5316","2014",303,"","q"
"591","02111","5315","2014",382205,"","q"
"604","02111","5315","2014",1376390.783842,"","q"
"604","02122","5315","2014",2788554.550891,"","q"
"604","02123","5315","2014",489955.686166,"","q"
"604","02140","5315","2014",2499030.673374,"","q"
"604","02151","5316","2014",621140.123008,"","q"
"642","02111","5315","2014",668000,"","q"
"642","02122","5315","2014",6576000,"","q"
"642","02123","5315","2014",903000,"","q"
"642","02140","5315","2014",5668000,"","q"
"642","02151","5316","2014",246751,"","q"
"642","02191","5316","2013",123,"","q"
"642","02191","5316","2014",111,"","q"
"659","02111","5315","2014",213,"","q"
"659","02122","5315","2014",760,"","q"
"659","02123","5315","2013",390,"","q"
"659","02123","5315","2014",701,"","q"
"659","02140","5315","2014",1089,"","q"
"670","02111","5315","2014",996,"","q"
"68","02111","5315","2014",1135273.537743,"","q"
"68","02122","5315","2014",1541074.675476,"","q"
"68","02123","5315","2014",388369.559583,"","q"
"68","02140","5315","2014",1555846.101733,"","q"
"68","02151","5316","2014",174136.684455,"","q"
"68","02154","5316","2014",643.664243,"","q"
"68","02191","5316","2014",273.855089,"","q"
"688","02111","5315","2014",320144,"","q"
"688","02122","5315","2014",1386648,"","q"
"688","02140","5315","2014",5657008,"","q"
"688","02151","5316","2014",64390,"","q"
"703","02111","5315","2014",46637,"","q"
"703","02122","5315","2014",109124,"","q"
"703","02123","5315","2013",30235,"","q"
"703","02123","5315","2014",30381,"","q"
"703","02140","5315","2013",709829,"","q"
"703","02140","5315","2014",678668,"","q"
"703","02151","5316","2014",37501,"","q"
"703","02152","5316","2012",9,"","q"
"703","02152","5316","2013",16,"","q"
"703","02152","5316","2014",17,"","q"
"703","02153","5316","2012",9,"","q"
"703","02153","5316","2013",9,"","q"
"703","02153","5316","2014",11,"","q"
"703","02154","5316","2012",144,"","q"
"703","02154","5316","2013",144,"","q"
"703","02154","5316","2014",149,"","q"
"705","02122","5315","2014",96313,"","q"
"705","02140","5315","2014",323008,"","q"
"705","02151","5316","2014",33159,"","q"
"705","02152","5316","2014",387,"","q"
"729","02121.01","5315","2013",513000,"","q"
"729","02121.01","5315","2014",520000,"","q"
"756","02111","5315","2014",649272,"","q"
"756","02122","5315","2014",218647,"","q"
"756","02123","5315","2014",33779,"","q"
"756","02131","5315","2013",3195,"","q"
"756","02131","5315","2014",2897,"","q"
"756","02140","5315","2014",2742441,"","q"
"760","02112","5315","2013",4193,"","q"
"760","02121.01","5315","2013",5338,"","q"
"760","02152","5316","2013",39,"","q"
"760","02153","5316","2013",18,"","q"
"760","02154","5316","2013",15,"","q"
"760","02191","5316","2013",27,"","q"
"764","02111","5315","2014",974708,"","q"
"764","02112","5315","2014",153005,"","q"
"764","02122","5315","2014",10086,"","q"
"764","02140","5315","2014",12822990,"","q"
"764","02151","5316","2014",1308900.27,"","q"
"792","02112","5315","2014",2176,"","q"
"8","02111","5315","2014",306522,"","q"
"8","02122","5315","2014",1283370,"","q"
"8","02123","5315","2014",618750,"","q"
"8","02140","5315","2014",205368,"","q"
"8","02151","5316","2014",8750,"","q"
"804","02111","5315","2014",2716400,"","q"
"804","02122","5315","2014",650500,"","q"
"804","02123","5315","2014",407300,"","q"
"804","02131","5315","2014",65500,"","q"
"804","02140","5315","2014",8596900,"","q"
"804","02151","5316","2014",655604,"","q"
"804","02191","5316","2014",7496,"","q"
"826","02111","5315","2014",2669000,"","q"
"826","02122","5315","2014",14620000,"","q"
"826","02140","5315","2014",10470000,"","q"
"826","02151","5316","2014",942000,"","q"
"826","02152","5316","2014",15300,"","q"
"826","02154","5316","2014",14300,"","q"
"862","02111","5315","2014",2335338,"","q"
"862","02122","5315","2014",232138,"","q"
"862","02123","5315","2014",372075,"","q"
"862","02140","5315","2014",2634692,"","q"
"862","02151","5316","2014",440200,"","q"
